"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"2","3.430568","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"3","4.202699","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"4","7.756655","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"5","11.716403","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"6","13.514450","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"7","16.279975","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"8","20.624662","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"9","22.278454","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"10","22.887410","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"11","24.835681","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"12","26.519327","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"13","28.186934","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"14","29.821913","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"15","32.032170","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"16","34.903269","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"17","35.588341","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"18","37.008152","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"19","39.896677","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"20","40.986053","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"21","43.882244","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"22","47.153246","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"23","48.691340","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"24","52.880957","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"25","55.683801","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"26","58.219983","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"27","59.449638","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"28","63.131334","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"29","66.374620","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"30","68.932553","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"31","72.212063","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"32","75.138427","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"33","77.338202","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"34","78.130685","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"35","79.355445","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"36","80.998105","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"37","82.911911","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"38","84.563628","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"39","86.318548","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"40","88.659773","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"41","90.218730","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"42","92.629170","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"43","94.703311","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"44","96.865685","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"45","100.063123","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"46","102.912988","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"47","105.288382","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"48","107.721660","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"49","109.264492","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"50","111.069230","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"51","114.998132","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"52","118.505322","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"53","120.534300","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"54","124.558666","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"55","126.368460","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"56","130.200438","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"57","134.481985","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"58","136.238253","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"59","137.359484","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"60","137.763764","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"61","139.619151","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"62","141.556261","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"63","144.608757","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"64","148.031846","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"65","150.694829","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"66","152.576634","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"67","155.530640","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"68","158.658446","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"69","161.826792","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"70","164.494660","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"71","167.384664","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"72","169.987438","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"73","171.886994","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"74","175.492063","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"75","178.868695","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"76","181.249257","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"77","183.922314","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
"78","186.088631","127.0.0.1","127.0.0.1","UDP","56","54841  >  13337 Len=24"
